Aanuoluwapo; God’s mercy is great.
Aarin; refers to centre/middle
Aarinade; in the centre of the crown
Aarinola; the centre of wealth
Abayomi; the enemy would have gloated over me
Abejide; born during the rainy season
Abidemi; born before the fathers arrival
Abidoye; born before the arrival of a chieftaincy title
Abiodun; born during the festival
Abiola/ Abimbola/Abisola; one born into wealth
Abiona; born during a journey
Abioye/Abisoye; born into status/title
Abisogun; born during a war
Abisuga; one born into the palace
Abodunrin; one who walks in with the festival/holiday
Abosede/Abiose; born on the first day of the week
Adaramola; one who complements wealth with beauty
Ade; this refers to crown or royalty
Adebajo; the crown returns from a trip
Adebambo; the crown returns with me
Adebanjo; the crown fits me
Adebanke; the crown helps to pamper me
Adebankole; the crown assisted me to build a house
Adebayo; the crown meets with joy
Adebimpe; the crown birthed me complete
Adebisi; the crown has given birth to more
Adebiyi; the crown gave birth to this one
Adebola; the crown meets with wealth
Adeboro; the crown meets wealth
Adebowale; the crown has come home
Adeboye; the crown meets the title
Adeboyejo; the crown befits the title
Adebukola; the crown has added to wealth
Adebusoye; the crown has adds to status
Adedamola; the crown is mixed with wealth
Adedapo; crowns associate/affiliate
Adedaramola; the crown associates with (complements) wealth well
Adedayo; the crown has become joy
Adedeji; the crown has become two
Adediji; the crown has become a refuge
Adediran; the crown becomes hereditary
Adedoja; the crown has become a market
Adedokun; the crown has become (as wide as) the sea
Adedolapo; the crown holds wealth together
Adedotun; the crown has become fresh/new
Adedoyin; the crown has become honey
Adefemi; the crown loves me
Adefolake; the crown pampers with wealth
Adefolarin; the crown walks with wealth
Adefoluke; the crown pampers with God
Adefoyeke; the crown pampers with the title
Adegbenga; the crown elevates/uplifts
Adegbenro; the crown establishes
Adegbola; the crown carries wealth
Adegboyega; the crown has elevated the title
Adegoke; the crown ascends a height/hill
Adegoroye: the crown ascends to a title
Adegunte; the crown ascends the throne
Adeiye; the crown of salvation
Adejare; the crown has overcome
Adejobi; the crown gives birth together
Adejoke; the crown will together pamper this one
Adejoro; the crown enjoys (eats) wealth
Adejumo; the crown unites
Adejumobi; the crown unites to give birth to
Adejumoke; the crown unites to pamper
Adejuwon; the crown is greater than them
Adekanmi; I am entitled to the crown
Adekemi; the crown pampers me
Adekilekun; the crown makes the house full
Adekitan; the crown does not finish/end
Adekola; the crown collects wealth
Adekoyejo; the crown brings together titles
Adekunle; crowns fill the house
Adelabi; we gave birth to a crown
Adelana; the crown opens the way
Adelani; we own the crown
Adelanwa; it is a crown that we look for
Adeleke; the crown triumphs
Adelodun; the crown owns the festival
Adelowo; the crown has respect
Adeloye; the crown is (the essence) of a title
Ademola; the crown has been added to wealth
Ademolu; the crown has been added to the master
Adenaike;
Adeniji; the crown has protection/refuge (to offer)
Adenike; the crown has (need of) care
Adeniran; the crown has history/lineage
Adeniyi; the crown has prestige/dignity
Adenola; the crown owns wealth
Adenrele; the crown is going home
Adenuga; the crown owns the palace
Adeoba; the crown of the king
Adeola; crown of wealth
Adeolu; the crown of God
Adeoti; the crown does not fade
Adeoye; a crown of title
Adepeju; the crown is full of honor
Adepero; the crown pacifies
Adepitan; the crown tells a story
Adepoju; crowns are many
Aderemilekun; the crown has dried my tears
Aderinsola; the crown walks into wealth
Aderiyike; the crown has found one to pamper
Aderonke; the crown has something to pamper
Aderoju; the crown has succor
Aderopo; the crown replaces
Adesanmi; the crown profits me
Adesewa; the crown makes beauty
Adesile; the crown opens a new house
Adesina; the crown has opened the way
Adesoji; the crown is revived
Adesokan; the crown is one
Adesola; the crown makes wealth
Adesoro; the crown makes wealth
Adesoye; the crown watches over the title
Adesupo; the crown aggregates
Adetola; the crown is the worth of wealth
Adetolu; the crown which belongs to God
Adetona; the crown gives direction
Adetoro; the crown is peaceful
Adetoun; the crown is worth strife
Adetoyebi; the crown is big enough to birth titles
Adetoyese; the crown has beautified the title
Adetunji; the crown has woken again
Adetutu; the crown is calm/soothing
Adewale; the crown has come home
Adewetan;
Adewonuola; the crown has entered into wealth
Adewunmi; I am desirous of the crown
Adeyanju; the crown succeeds
Adeyato; the crown is different
Adeyemi; the crown befits me
Adeyemo; the crown befits a child
Adeyiga; the crown surrounds the palace
Adeyinka; the crown surrounds me
Adeyeye; the crown befits its titles
Adeyombo;
Adeyoola;
Adeyoye; the crown rejoices over the title

Adunade; the sweetness of the crown
Adunbi; one who is sweet to give birth to
Adunke; one who is sweet to pamper
Adunni; one who is sweet to have

Adura; means prayer
Aduramigba; my prayer has been answered

Afolabi; one born with wealth
Afolami; one who breathes with wealth
Afolarin; one who walks with wealth
Afolorunso; one kept under God’s protection

Agboola; the stage/platform of wealth

Aibinuola; one who is not antagonistic of wealth

Ajao;

Aje; a child born on monday

Ajibola; one who wakes up to meet wealth
Ajibade; one who wakes into royalty
Ajibike; we woke up to take care of this one
Ajirola; one who wakes to the sight of wealth

Akin; refers to warrior/valor
Akinbiyi; a warrior gave birth to this one
Akinbode; a warrior has arrived
Akinbola; valor meets with wealth
Akindele; the warrior has come home
Akinkunmi; valor fills me
Akinlabi; we gave birth to a warrior
Akinleye; valor has glory
Akinlolu; the Lord is Valor
Akinloye; valor is a title
Akinmade; the warrior takes the crown
Akinniyi; valor has dignity
Akinola; valor of wealth
Akinpelu; the warrior was one of them
Akinrinnola; the warrior walks in wealth
Akinsanmi; valor profits me
Akintayo; valor is the worth of joy
Akintola; valor is the worth of wealth
Akintoye; valor is the worth of title
Akintunde; the warrior has come again
Akinwunmi; warriors appeal to me
Akinyele; valor befits a home
Akinyemi; valor befits me

Akeju; one who is over pampered

Anjolaoluwa; we are enjoying (eating) the wealth of God

Alaba; the second child born after a set of twins

Alade; the crowned one

Alao;

Alayo; one who is full of joy/merriment

Alarape; the one with family is complete

Ara; means family. It also means “to be a part of”
Aralola; family (relations) is wealth
Aramide; my family has come
Araoye; a part of the title

Aremu; is the name given to the first male child

Aribanke;
Ariyo; one who is joy to behold

Asikooluwaloju; the Timing of God is best

Atanda;

Atinuke; a person who has been pampered from conception

Aworo;

Ayan; refers to drums/drumming.
Ayanbadejo; drumming complements the crown well
Ayandele; the drummer has come home
Ayantola; drumming is the worth of wealth
Ayantuge; drumming is the worth of the palace
Ayanyinka; drumming surrounds me

Ayo; means joy
Ayoade; the joy of the crown
Ayobade; joy meets with the crown
Ayobami; joy meets with me
Ayodabo;
Ayodeji; joy has doubled
Ayodele; joy has come home
Ayodiran; joy becomes hereditary
Ayoku; joy remains
Ayokunle; joy fills the house
Ayokunnumitetete; joy fills my insides completely/ joy saturates me
Ayomide /Ayomitide; my joy has come
Ayoola; the joy of wealth
Ayorinde; joy walks in
Ayotomi; joy is enough for me
Ayotola; joy is the worth of wealth
Ayotunde; joy has come again
B
Baba; means father or grandfather
Bababunmi; father gave me
Babajide; father has awoken
Babalola; father is wealth
Babarinsa; “father saw and ran”. Name given to a child whose father dies shortly after his birth
Babasola; father makes wealth
Babatola; father is the worth of wealth
Babatunde; father has come again
Babatunji; father had arisen/reincarnated
Babawale; father has come home
Babayeju; father confers dignity

Badejoko; one who sits with then crown

Beekololari
Beelolari

Bolajoko; one who sits with wealth
Bolatito; so wealth is this big?
Bolutife; it is as God desires
Botiwunoluwa; as God desires
D
Dideolu; the rising of God
Durodola; wait for wealth
Durojaiye; wait to enjoy (eat) life
Durosinmi; wait to bury me

E
Ebudola; insults have become wealth/honor
Ebunoluwa; gift of God
Emiola; the spirit of wealth

Eni; means person
Enilo; the person who went away
Eniola; person of wealth
Enitan; a person about whose birth a story is told
Eniolurunda; a person created/moulded (especially) by God
Eniolorunopa; a person who God will not kill
Enitanwa; a person who we have been waiting for

Ekundayo; tears have become joy
Ereola; the benefit/advantage of wealth

Erioluwa; evidence/testimony of God

Etoade; right of the crown

Ewaoluwa; beauty of God

Eyiloreoluwa; this is the favor of God

Eyitola; this (one) is the worth of wealth
F
Faramade; move closer to the crown
Fadekemi; make use if the crown to pamper me
Fadesewafunmi; make beauty from the crown for me
Fehintiola; rest/relax on wealth
Feyifoluwa; give this (one) to God
Fijinjesu/ Fijinoluwa; consecrated unto Jesus/God
Fiyinfoluwa; give prestige to God
Folagbade; receive a crown with wealth
Folashade; use wealth as a crown
Fowosade; use money as a crown

G
Gbekelolu; rest on God
Gbadewole; enter a place with the crown
Gbolagunte; ascend the throne with wealth
Gbolahan; show off wealth
Gbowoade; receive the crown
I
Ibidokun; family becomes (as wide as) the sea
Ibidun; child birth is sweet
Ibijoke; family pampers together
Ibikeye; childbirth brings honor
Ibikunle; birth (children) fill the house
Ibilola; childbirth is wealth
Ibisola; childbirth makes wealth
Ibiyemi; childbirth honors me
Ibirinade;
Ibironke; family has found who to pamper

Ibiolagbajosi; the place wealth converges at

Ibukunoluwa; blessing of God

Idowu; the name given to the child born after a set of twins

Idurotioluwa; the steadfastness/ abiding presence of God

Ife; means love
Ifeade; love of the crown
Ifedolapo; love holds wealth together
Ifejobi; love gave birth together
Ifeoluwakusi; the love of God abounds
Ifetayo; love is the worth of joy
Igbagboluwa; belief/faith of God

Ikeolu; the care of God

Ilesanmi; home benefits me

Imoleoluwa; light of God

Inioluwa; property of God

Ipadeola; assembly of wealth

Ipinuoluwa; decision of God

Iremide; my fortune/benefit has arrived

Iretiola; hope/anticipation of wealth
Iretioluwa; God’s hope

itanife; the story of love

Iteoluwakiisi; the throne of God is permanent

Itunuoluwa; comfort of God

Iwalewa; good character is beautiful

Iyanda; a selected being

Iya; refers to mother/grandmother
Iyabo; mother has come
Iyadunni; mother is sweet to have
Iyaniwura; mother is (as precious as) gold
Iyatunde; mother has returned
Iyanuoluwa; mercy of God

Iyinoluwa;
Iyiola; the prestige of wealth

Iyunadeoluwa; beads (corals) of the crown of God

J
Jejelaiyegba; life should be treaded gently
Jejeolaoluwa; the wealth of God is gentle/restful
Jenrola; let me find wealth
Jokotade; sit with the crown
Jokotola; sit with wealth
K
Kalejaye; sit and eat (savor) life
Kasimawo; let’s wait and see (if this child will live long)
Kikelomo; children are destined for pampering
Kofoworade; he does not buy the crown with money
Kofoworola;he does not buy wealth with money
Kokumo; he/she will not die again
Koledowo; build a house in anticipation of wealth
Kosoko; theres no hoe
Koyinsola; put honey into wealth i.e. experience sweet wealth
Kukoyi; death rejects this (one)
M
Magbagbeoluwa; do not forget God
Majekodunmi; do not let it hurt (pain) me
Majemuoluwa; convenant of God
Makanjuola; do not be in a hurry to get wealthy
Malomo; don’t go away any more
Matanmi; don’t deceive me
Meraola; I did not buy wealth
Mobiyina; I have given birth to this one (at last!)
Mobolaji; I awoke with wealth
Modupe; I give thanks
Mofaderera; I adorn my body with a crown
Mofeoluwa; I love God
Mofeyisade; I use this (one) as a crown
Mofeyisola; I use this (one) as wealth
Mofogofolorun; I give God glory?
Mofolami; I breathe with wealth
Mofolusho/Mofolorunsho; I place in Gods protection/keeping
Mofopefolorun; I give thanks to God
Mogbadunola; I enjoy wealth
Mogbolade; I bring wealth home?
Mojirayo; I awoke to see joy
