M/F	Abadom	plea not to be chastised	Igbo
M	Abaeze	branch of the kings	Igbo
F	Abayomi	she brings me joy	Yoruba
M	Abayomrunkoje	God won't allow humiliation	Yoruba
F	Abebi	we asked for a girl child	Yoruba
M	Abegunde	born during holiday	Yoruba
F	Abeni	we asked for a girl child	Yoruba
M	Abeo	happiness bringer	Yoruba
F	Abidemi	born during father's absence	Yoruba
M	Abidugun	born before the war	Yoruba
M/F	Abiodun	born in a festive period	Yoruba
M	Abiodun	born at the time of festival	Yoruba
M/F	Abioye	we have royalty	Yoruba
M	Abioye	born during a coronation	Yoruba
M/F	Abolanle	met wealth at home	Yoruba
M/F	Abomeli	Abo was victorious	Igbo
M/F	Achebe	goddess protects	Igbo
M/F	Achike	slow and steady wins the race	Igbo
M/F	Achutebe	limit one can be pushed around	Igbo
F	Ada-afo	born on third day	Igbo
F	Adamma	daughter of beauty	Igbo
F	Adankwo	born on fourth day	Igbo
F	Adaoma	good lady	Ibo
F	Adaora	daughter of all	Igbo
M/F	Adebambo	the crown came with me	Yoruba
M	Adebamgbe	royalty dwells with me	Yoruba
M/F	Adebisi	we added to the crown	Yoruba
M	Adebiyi	royal one	Yoruba
M	Adebowale	the crown has come home	Yoruba
M/F	Adeboye	the crown has brought title	Yoruba
M	Adedayo	the crown has turned to joy	Yoruba
M	Adedeji	the crown has become two	Yoruba
F	Adedoyin	the crown is now sweet	Yoruba
F	Adefolake	your wealth supports us	Yoruba
M	Adejola	king of kings; God	Yoruba
M	Adekola	the crown gathers wealth	Yoruba
F	Adeleke	the crown brings happiness	Yoruba
M	Adeleye	the crown is honorable	Yoruba
F	Adenike	the crown is cherished	Yoruba
F	Adenike	wealth of the crown	Yoruba
F	Adeola	wealth of the crown	Yoruba
M/F	Adeolu	you figure it out; I don't know	Yoruba
F	Aderinola	wealth of the crown	Yoruba
F	Aderiyike	the pampered crown	Yoruba
M	Adesehinwa	the crown is back	Yoruba
F	Adesewa	the crown of beauty	Yoruba
M	Adesola	crowned with wealth	Yoruba
M/F	Adesola	crowned with wealth	Yoruba
M/F	Adetokunbo	the crown from abroad	Yoruba
F	Adetokunbo	father has returned from a trip	Yoruba
M	Adetosoye	crown is entitled to the throne	Yoruba
F	Adetowumi	the crown that I wished for	Yoruba
F	Adewemimo	the crown washed me clean	Yoruba
M	Adewole	royalty enters the house	Yoruba
M	Adeyemi	the crown suits me well	Yoruba
M	Adeyemo	the crown befits this child	Yoruba
M	Adigun	righteous	Yoruba
M	Adimabua	now I am two	Igbo
F	Adodoola	beautiful flower	Yoruba
M/F	Aduba	resents the family	Igbo
F	Adunola	sweetness of wealth	Yoruba
F	Afafa	first child of second husband	Yoruba
M	Afiba	by the sea	Yoruba
M/F	Afoaka	the cause of our difficulties	Igbo
M/F	Agbapuonwu	plea for longevity	Igbo
M/F	Agbebiyi	last name ; surname	Yoruba
M	Agbonkhina	welcome to life	Benin
M	Agbonserema	welcome to the world	Benin
